Loss,MAE,MAPE,MSE,RMSE,valLoss,valMAE,valMAPE,valMSE,valRMSE
0.317337065935134,0.55102002620697,233.4023132,0.317337065935134,0.563326776027679,0.311654716730117,0.546880900859832,212.0971375,0.311654716730117,0.558260440826416
0.315806031227111,0.549630284309387,232.8699341,0.315806031227111,0.561966240406036,0.310130536556243,0.545491278171539,211.5966644,0.310130536556243,0.556893646717071
0.314272850751876,0.548233985900878,232.3341522,0.314272850751876,0.560600459575653,0.308753907680511,0.54423314332962,211.1435852,0.308753907680511,0.555656313896179
0.312883526086807,0.546957731246948,231.8651581,0.312883526086807,0.559359908103942,0.307337284088134,0.542935371398925,210.676239,0.307337284088134,0.554380118846893
0.31145629286766,0.545665502548217,231.3554688,0.31145629286766,0.558082699775695,0.305935025215148,0.541647672653198,210.2124939,0.305935025215148,0.553113937377929
0.310037374496459,0.54434323310852,230.8652649,0.310037374496459,0.556810021400451,0.304328769445419,0.540168821811676,209.6799164,0.304328769445419,0.551660001277923
0.308422356843948,0.542868852615356,230.2945709,0.308422356843948,0.555357873439788,0.302951097488403,0.538897216320037,209.2219391,0.302951097488403,0.550409913063049
0.307032346725463,0.541568458080291,229.8084259,0.307032346725463,0.55410498380661,0.30150619149208,0.537560224533081,208.740509,0.30150619149208,0.549095809459686
0.305572688579559,0.540240287780761,229.2767792,0.305572688579559,0.552786290645599,0.29999440908432,0.536157846450805,208.2354279,0.29999440908432,0.547717452049255
0.304049521684646,0.538817405700683,228.737442,0.304049491882324,0.551406800746917,0.298535048961639,0.53480064868927,207.7466125,0.298535048961639,0.546383619308471
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2022 Aspose Pty Ltd.
